trial, person, eye, t0, x, y
0,0,L,-118,956.7,603.8
0,0,L,366,1101.0,680.3
0,0,X,1842,1080.0,660.0
1,0,L,-117,1093.4,679.5
1,0,L,303,389.7,954.6
1,0,X,1215,395.0,925.0
2,0,L,-30,1669.2,101.3
2,0,L,218,1657.4,106.3
2,0,X,1078,1630.0,135.0
3,0,L,-113,964.1,456.6
3,0,L,275,1326.5,323.1
3,0,L,423,1323.2,289.8
3,0,X,1363,1290.0,310.0
4,0,L,-112,813.3,415.3
4,0,L,212,1574.5,680.4
4,0,L,336,1602.7,694.8
4,0,X,1532,1580.0,710.0
5,0,L,-110,1017.9,492.8
5,0,L,214,257.0,185.0
5,0,L,414,213.6,145.6
5,0,L,538,224.1,130.1
5,0,X,1110,220.0,130.0
6,0,L,-115,723.0,501.2
6,0,L,209,915.7,258.7
6,0,L,321,874.4,205.1
6,0,X,1145,870.0,235.0
7,0,L,-113,896.0,542.1
7,0,L,87,360.3,720.4
7,0,L,203,436.9,502.8
7,0,L,319,433.6,442.8
7,0,X,1051,450.0,450.0
8,0,L,-107,1019.2,519.0
8,0,L,301,840.1,900.5
8,0,L,381,789.7,834.5
8,0,X,1113,790.0,835.0
9,0,L,-112,822.2,431.4
9,0,L,212,1384.0,932.1
9,0,L,320,1415.6,1044.3
9,0,L,508,1418.5,1065.5
9,0,L,1240,1426.3,1068.1
9,0,X,1469,1370.0,1060.0
10,0,L,-124,871.3,417.8
10,0,L,232,1675.4,95.1
10,0,X,1281,1630.0,135.0
11,0,L,-109,991.0,403.8
11,0,L,227,815.0,839.9
11,0,L,511,783.9,822.3
11,0,L,1391,904.8,451.7
11,0,X,1358,790.0,835.0
12,0,L,-116,876.4,433.4
12,0,L,192,1129.2,668.8
12,0,L,344,1098.9,650.6
12,0,X,1287,1080.0,660.0
13,0,L,-121,750.7,466.3
13,0,L,183,445.3,442.0
13,0,X,1202,450.0,450.0
14,0,L,-119,1125.9,465.2
14,0,L,241,417.8,947.4
14,0,L,453,380.6,933.3
14,0,L,577,390.3,928.7
14,0,X,1226,395.0,925.0
15,0,L,-117,855.8,511.0
15,0,L,199,1414.8,986.8
15,0,L,315,1436.4,1053.0
15,0,L,615,1417.0,1048.8
15,0,X,1264,1370.0,1060.0
16,0,L,-112,932.1,435.6
16,0,L,220,248.8,199.3
16,0,L,336,230.4,113.5
16,0,L,968,230.1,107.2
16,0,X,1477,220.0,130.0
17,0,L,-116,1156.9,625.6
17,0,L,92,851.4,652.7
17,0,L,204,1389.6,410.6
17,0,L,300,1328.7,323.2
17,0,L,416,1334.6,275.1
17,0,X,1865,1290.0,310.0
18,0,L,-111,695.8,605.5
18,0,L,189,896.4,293.9
18,0,L,297,881.4,188.1
18,0,X,1486,870.0,235.0
19,0,L,-124,1001.5,447.0
19,0,L,208,1665.8,660.1
19,0,L,340,1611.2,630.0
19,0,L,1208,1618.6,632.7
19,0,X,1505,1580.0,710.0
20,0,L,-121,980.0,371.4
20,0,L,275,1622.4,130.0
20,0,L,395,1676.1,74.5
20,0,L,563,1670.6,55.7
20,0,X,1452,1630.0,135.0
21,0,L,-107,814.7,369.3
21,0,L,229,1321.6,297.9
21,0,L,405,1328.2,263.1
21,0,X,1418,1290.0,310.0
22,0,L,-123,1320.4,269.7
22,0,L,181,1614.9,648.2
22,0,L,313,1629.5,683.0
22,0,L,601,1618.9,688.4
22,0,X,1792,1580.0,710.0
23,0,L,-116,977.2,394.5
23,0,L,160,527.3,472.7
23,0,L,284,457.4,442.8
23,0,L,1500,1003.5,339.0
23,0,X,1455,450.0,450.0
24,0,L,-119,1023.2,223.6
24,0,L,85,873.9,509.3
24,0,L,269,1427.8,1071.1
24,0,L,381,1430.9,1043.6
24,0,L,1541,1420.7,1044.2
24,0,X,2428,1370.0,1060.0
25,0,L,-115,893.0,448.3
25,0,L,173,881.9,191.4
25,0,X,1506,870.0,235.0
26,0,L,-118,948.5,458.1
26,0,L,222,288.3,180.6
26,0,L,350,227.6,105.8
26,0,X,1013,220.0,130.0
27,0,L,5,1021.0,459.7
27,0,L,189,816.5,828.3
27,0,L,373,780.8,835.7
27,0,L,489,795.3,820.4
27,0,X,1372,790.0,835.0
28,0,L,-119,870.4,300.6
28,0,L,217,388.6,891.4
28,0,L,345,396.0,949.7
28,0,X,1068,395.0,925.0
29,0,L,-116,754.8,417.8
29,0,L,160,1096.3,638.0
29,0,L,288,1111.5,626.8
29,0,X,1089,1080.0,660.0
30,0,L,-118,1013.3,389.3
30,0,L,158,1554.3,151.4
30,0,L,266,1665.0,78.5
30,0,L,390,1677.5,52.5
30,0,X,1341,1630.0,135.0
31,0,L,-117,765.7,285.6
31,0,L,199,473.4,844.2
31,0,L,307,435.7,924.0
31,0,L,495,395.5,919.1
31,0,X,1222,395.0,925.0
32,0,L,-118,908.2,271.3
32,0,L,238,246.0,124.3
32,0,L,698,217.9,74.9
32,0,L,846,233.5,65.2
32,0,X,958,220.0,130.0
33,0,L,-117,1036.6,519.2
33,0,L,191,1370.8,911.7
33,0,L,315,1414.9,1011.7
33,0,L,987,1404.8,1013.5
33,0,X,1039,1370.0,1060.0
34,0,L,-119,894.9,264.5
34,0,L,181,864.9,699.7
34,0,L,301,809.1,792.3
34,0,X,981,790.0,835.0
35,0,L,-110,864.8,523.4
35,0,L,62,860.6,389.5
35,0,L,202,1163.0,665.0
35,0,L,326,1109.8,635.3
35,0,X,902,1080.0,660.0
36,0,L,-123,836.6,365.4
36,0,L,173,1339.7,273.7
36,0,L,601,1323.2,247.6
36,0,X,1001,1290.0,310.0
37,0,L,-124,797.0,320.8
37,0,L,160,444.1,439.1
37,0,X,696,450.0,450.0
38,0,L,-111,1053.6,434.7
38,0,L,169,1584.3,678.1
38,0,L,289,1627.4,681.9
38,0,X,661,1580.0,710.0
39,0,L,-114,920.1,330.2
39,0,L,174,889.0,205.3
39,0,L,354,899.6,178.7
39,0,X,506,870.0,235.0
40,0,L,-118,1009.1,493.6
40,0,L,170,490.2,553.9
40,0,L,290,465.4,478.7
40,0,L,422,458.6,428.8
40,0,X,726,450.0,450.0
41,0,L,-115,1145.0,431.3
41,0,L,161,1523.9,454.2
41,0,L,293,1545.4,440.3
41,0,X,697,1580.0,710.0
42,0,L,-111,745.8,281.9
42,0,L,217,809.7,807.4
42,0,L,313,799.7,773.5
42,0,X,717,790.0,835.0
43,0,L,-124,1138.1,256.2
43,0,L,160,1343.6,255.7
43,0,L,492,1332.1,252.1
43,0,X,800,1290.0,310.0
44,0,L,-108,763.5,417.5
44,0,L,208,1373.5,955.9
44,0,L,320,1426.2,1027.4
44,0,X,1176,1370.0,1060.0
45,0,L,-115,1097.4,440.3
45,0,L,53,970.9,343.9
45,0,L,213,892.4,191.5
45,0,X,1249,870.0,235.0
46,0,L,-110,1128.6,470.1
46,0,L,190,1126.4,647.0
46,0,X,1534,1080.0,660.0
47,0,L,54,848.1,422.3
47,0,L,302,1682.9,52.5
47,0,X,1160,1630.0,135.0
48,0,L,-117,1137.5,255.0
48,0,L,63,841.6,443.6
48,0,L,239,405.4,956.9
48,0,L,363,419.9,917.2
48,0,L,923,454.4,890.5
48,0,L,1027,398.4,902.5
48,0,X,1153,395.0,925.0
49,0,L,-122,798.4,317.0
49,0,L,222,235.7,115.5
49,0,X,1482,220.0,130.0
50,0,L,18,1008.0,422.9
50,0,L,230,428.2,431.3
50,0,L,342,458.3,395.3
50,0,L,778,448.4,379.8
50,0,X,1406,450.0,450.0
51,0,L,-119,1006.2,299.5
51,0,L,169,1316.5,194.5
51,0,L,293,1319.0,170.9
51,0,X,1029,1290.0,310.0
52,0,L,-112,795.6,392.3
52,0,L,208,928.3,100.4
52,0,L,340,905.2,140.6
52,0,X,1340,870.0,235.0
53,0,L,-118,969.0,551.9
53,0,L,178,1344.1,808.8
53,0,L,290,1398.4,866.2
53,0,L,1090,1423.7,892.1
53,0,L,1202,1415.2,966.2
53,0,X,1918,1370.0,1060.0
54,0,L,-108,910.6,454.5
54,0,L,224,431.3,901.5
54,0,L,352,414.9,927.0
54,0,L,1596,398.5,963.2
54,0,X,2160,395.0,925.0
55,0,L,-96,1038.6,402.5
55,0,L,180,1623.8,30.9
55,0,L,284,1650.6,-39.3
55,0,X,1080,1630.0,135.0
56,0,L,-111,874.5,295.8
56,0,L,57,559.4,505.7
56,0,L,225,775.4,773.6
56,0,L,341,783.0,804.4
56,0,L,1645,957.0,349.8
56,0,X,1661,790.0,835.0
57,0,L,6,944.4,255.9
57,0,L,186,291.3,158.4
57,0,L,326,225.9,129.5
57,0,L,414,216.0,167.8
57,0,L,490,218.9,119.4
57,0,X,1450,220.0,130.0
58,0,L,-97,824.8,406.0
58,0,L,231,889.9,523.1
58,0,L,447,1125.8,800.3
58,0,L,559,1105.0,721.5
58,0,L,727,1109.8,719.1
58,0,X,1487,1080.0,660.0
59,0,L,-111,983.6,631.4
59,0,L,181,1641.8,757.0
59,0,L,305,1668.5,777.4
59,0,L,1109,1656.0,782.3
59,0,L,1781,1120.4,343.2
59,0,X,1740,1580.0,710.0
60,0,L,-120,787.8,214.1
60,0,L,164,535.9,465.3
60,0,L,292,463.5,468.5
60,0,X,1093,450.0,450.0
61,0,L,-116,941.2,339.2
61,0,L,148,885.1,818.4
61,0,L,276,818.6,860.3
61,0,X,1169,790.0,835.0
62,0,L,-123,1078.7,295.5
62,0,L,181,324.7,263.3
62,0,L,285,241.0,138.8
62,0,X,1362,220.0,130.0
63,0,L,-114,980.0,506.5
63,0,L,174,1542.8,707.1
63,0,L,278,1642.2,730.6
63,0,X,915,1580.0,710.0
64,0,L,-111,825.5,329.5
64,0,L,213,1671.8,133.0
64,0,L,333,1694.8,61.4
64,0,X,926,1630.0,135.0
65,0,L,-116,1017.1,293.3
65,0,L,292,1453.4,1035.7
65,0,L,456,1447.5,1052.9
65,0,X,1185,1370.0,1060.0
66,0,L,-125,940.1,342.0
66,0,L,159,1328.5,292.6
66,0,L,295,1348.3,257.6
66,0,X,1232,1290.0,310.0
67,0,L,-110,965.7,393.8
67,0,L,194,463.5,898.0
67,0,L,326,414.4,912.4
67,0,X,1111,395.0,925.0
68,0,L,-115,886.2,251.7
68,0,L,185,1152.4,585.3
68,0,L,313,1114.1,634.3
68,0,L,609,1127.9,644.7
68,0,L,805,1115.3,639.6
68,0,X,1122,1080.0,660.0
69,0,L,-12,806.0,328.6
69,0,L,160,888.6,172.2
69,0,X,1181,870.0,235.0
70,0,L,-112,909.4,372.0
70,0,L,196,1393.9,974.9
70,0,L,312,1453.5,1031.6
70,0,L,656,1448.0,1040.0
70,0,L,1160,1456.2,1025.2
70,0,X,1349,1370.0,1060.0
71,0,L,-108,922.8,301.0
71,0,L,164,887.2,183.7
71,0,X,967,870.0,235.0
72,0,L,4,1164.6,549.3
72,0,L,232,425.5,933.5
72,0,L,380,419.8,947.8
72,0,L,604,396.6,939.7
72,0,L,956,417.7,920.7
72,0,X,1399,395.0,925.0
73,0,L,-108,991.3,251.6
73,0,L,192,466.3,442.4
73,0,L,352,474.3,434.7
73,0,L,756,461.5,440.7
73,0,L,1164,457.0,480.3
73,0,X,1239,450.0,450.0
74,0,L,-118,669.1,333.2
74,0,L,186,1090.1,642.7
74,0,L,310,1133.8,654.6
74,0,X,1413,1080.0,660.0
75,0,L,-111,806.1,255.5
75,0,L,113,277.5,171.2
75,0,L,261,821.9,818.6
75,0,L,381,829.0,824.0
75,0,L,697,843.6,835.2
75,0,L,853,835.3,833.4
75,0,L,1033,821.7,816.1
75,0,L,2605,847.4,783.8
75,0,L,2737,816.5,777.2
75,0,X,2692,790.0,835.0
76,0,L,-117,959.0,173.5
76,0,L,183,1592.7,551.3
76,0,L,295,1648.3,612.5
76,0,L,459,1631.8,621.1
76,0,L,923,1603.7,603.4
76,0,L,1031,1625.2,588.4
76,0,X,1390,1580.0,710.0
77,0,L,-117,877.1,193.9
77,0,L,175,273.6,151.3
77,0,L,291,231.6,40.2
77,0,X,1422,220.0,130.0
78,0,L,-121,1041.7,267.3
78,0,L,155,1310.6,207.7
78,0,L,299,1322.4,169.8
78,0,X,1124,1290.0,310.0
79,0,L,-116,928.1,218.6
79,0,L,212,1658.0,72.0
79,0,L,320,1681.3,-14.7
79,0,X,967,1630.0,135.0
80,0,L,-124,869.8,269.9
80,0,L,156,1350.5,234.1
80,0,L,288,1333.7,195.7
80,0,L,1828,1341.4,259.9
80,0,X,1783,1290.0,310.0
81,0,L,-124,901.2,367.1
81,0,L,196,304.9,151.4
81,0,L,316,240.9,63.8
81,0,L,964,227.7,43.9
81,0,X,1263,220.0,130.0
82,0,L,-111,992.6,470.0
82,0,L,185,1675.6,55.7
82,0,L,305,1691.0,-9.8
82,0,L,1373,976.0,248.8
82,0,X,1316,1630.0,135.0
83,0,L,-108,863.4,311.0
83,0,L,236,421.3,873.3
83,0,L,360,415.2,860.7
83,0,X,1055,395.0,925.0
84,0,L,-119,1017.3,187.7
84,0,L,225,1382.4,910.4
84,0,L,325,1426.6,883.4
84,0,L,537,1406.9,910.4
84,0,L,1049,881.2,374.1
84,0,X,997,1370.0,1060.0
85,0,L,-111,803.0,259.4
85,0,L,121,352.3,295.1
85,0,L,281,1528.6,631.1
85,0,L,401,1628.5,610.9
85,0,X,1221,1580.0,710.0
86,0,L,-121,889.7,229.4
86,0,L,155,909.1,166.0
86,0,X,883,870.0,235.0
87,0,L,-108,905.7,159.6
87,0,L,208,482.2,415.2
87,0,L,932,461.0,399.8
87,0,L,1036,472.1,393.2
87,0,X,1208,450.0,450.0
88,0,L,-117,1039.8,380.5
88,0,L,171,1126.6,579.4
88,0,X,879,1080.0,660.0
89,0,L,-112,793.2,241.6
89,0,L,216,839.3,800.0
89,0,L,320,818.1,761.0
89,0,X,988,790.0,835.0
90,0,L,-120,796.9,251.4
90,0,L,348,1426.4,931.3
90,0,L,528,1434.0,950.5
90,0,X,1340,1370.0,1060.0
91,0,L,-118,887.7,408.3
