trial, person, eye, t0, x, y
0,0,R,-118,955.8,599.5
0,0,R,362,1077.2,677.4
0,0,X,1842,1080.0,660.0
1,0,R,-117,1088.2,673.0
1,0,R,315,369.5,962.7
1,0,X,1215,395.0,925.0
2,0,R,-34,1653.9,174.4
2,0,R,218,1638.7,151.6
2,0,X,1078,1630.0,135.0
3,0,R,-113,964.5,454.5
3,0,R,275,1305.0,308.5
3,0,X,1363,1290.0,310.0
4,0,R,-112,821.2,403.0
4,0,R,212,1529.2,693.5
4,0,R,332,1598.4,714.1
4,0,X,1532,1580.0,710.0
5,0,R,-110,1021.8,484.2
5,0,R,218,196.1,158.9
5,0,R,414,185.8,144.6
5,0,R,542,207.8,139.0
5,0,X,1110,220.0,130.0
6,0,R,-115,740.3,514.5
6,0,R,145,890.0,457.5
6,0,R,209,892.1,272.3
6,0,R,325,870.0,221.5
6,0,X,1145,870.0,235.0
7,0,R,-113,894.1,548.8
7,0,R,87,315.9,708.6
7,0,R,207,394.1,507.9
7,0,R,323,427.6,460.1
7,0,X,1051,450.0,450.0
8,0,R,-107,1017.8,529.5
8,0,R,301,773.5,902.6
8,0,R,381,778.0,842.8
8,0,X,1113,790.0,835.0
9,0,R,-112,830.2,429.7
9,0,R,208,1311.0,935.6
9,0,R,316,1361.2,1050.5
9,0,R,504,1391.9,1066.4
9,0,R,1236,1394.6,1068.4
9,0,X,1469,1370.0,1060.0
10,0,R,-124,849.2,417.7
10,0,R,228,1637.8,138.0
10,0,X,1281,1630.0,135.0
11,0,R,-109,1004.0,405.9
11,0,R,223,781.6,853.2
11,0,R,511,788.9,834.0
11,0,R,1399,861.1,456.8
11,0,X,1358,790.0,835.0
12,0,R,-116,884.6,441.8
12,0,R,188,1097.2,667.6
12,0,R,344,1097.8,651.5
12,0,X,1287,1080.0,660.0
13,0,R,-121,762.1,474.0
13,0,R,183,433.4,442.6
13,0,X,1202,450.0,450.0
14,0,R,-119,1154.8,463.4
14,0,R,241,388.4,943.8
14,0,R,461,372.6,940.5
14,0,R,585,384.8,933.8
14,0,X,1226,395.0,925.0
15,0,R,-117,874.2,523.4
15,0,R,199,1346.9,979.0
15,0,R,315,1397.0,1048.7
15,0,R,607,1400.8,1046.0
15,0,X,1264,1370.0,1060.0
16,0,R,-112,929.5,438.0
16,0,R,224,187.4,175.9
16,0,R,344,213.3,119.1
16,0,R,968,209.0,110.7
16,0,X,1477,220.0,130.0
17,0,R,-116,1156.1,616.1
17,0,R,100,828.2,621.7
17,0,R,200,1338.5,438.6
17,0,R,300,1282.0,340.9
17,0,R,420,1315.9,288.8
17,0,X,1865,1290.0,310.0
18,0,R,-111,714.3,599.6
18,0,R,185,863.9,304.4
18,0,R,293,875.2,206.1
18,0,X,1486,870.0,235.0
19,0,R,-124,1016.5,459.4
19,0,R,208,1634.7,709.2
19,0,R,336,1617.5,683.7
19,0,R,1208,1612.6,677.6
19,0,X,1505,1580.0,710.0
20,0,R,-121,958.0,364.6
20,0,R,271,1569.5,171.3
20,0,R,391,1648.1,96.2
20,0,X,1452,1630.0,135.0
21,0,R,-107,823.8,356.8
21,0,R,229,1311.2,317.2
21,0,R,405,1319.2,284.1
21,0,X,1418,1290.0,310.0
22,0,R,-123,1329.1,292.6
22,0,R,185,1574.5,664.1
22,0,R,313,1613.3,708.0
22,0,R,597,1606.0,703.8
22,0,R,1217,1605.1,694.7
22,0,X,1792,1580.0,710.0
23,0,R,-116,959.1,392.4
23,0,R,160,482.9,440.8
23,0,R,288,443.7,430.0
23,0,R,1496,1005.6,359.8
23,0,X,1455,450.0,450.0
24,0,R,-119,1074.9,238.1
24,0,R,81,880.0,507.0
24,0,R,269,1356.9,1075.6
24,0,R,385,1397.6,1043.3
24,0,R,1541,1393.0,1037.0
24,0,X,2428,1370.0,1060.0
25,0,R,-115,912.1,449.4
25,0,R,181,860.3,228.1
25,0,R,305,878.2,201.2
25,0,X,1506,870.0,235.0
26,0,R,-118,967.8,460.7
26,0,R,222,235.7,158.8
26,0,R,354,220.8,119.6
26,0,X,1013,220.0,130.0
27,0,R,5,1032.3,490.1
27,0,R,185,789.6,839.5
27,0,R,381,779.5,826.4
27,0,R,489,798.1,822.6
27,0,X,1372,790.0,835.0
28,0,R,-119,887.1,313.0
28,0,R,217,332.7,877.4
28,0,R,349,386.2,945.5
28,0,X,1068,395.0,925.0
29,0,R,-116,756.0,412.8
29,0,R,160,1059.9,629.1
29,0,R,284,1111.9,625.9
29,0,X,1089,1080.0,660.0
30,0,R,-118,1028.9,388.1
30,0,R,154,1539.1,202.4
30,0,R,262,1650.8,136.8
30,0,R,394,1671.6,99.3
30,0,X,1341,1630.0,135.0
31,0,R,-117,770.0,278.0
31,0,R,199,395.1,830.4
31,0,R,307,379.3,923.4
31,0,R,499,384.3,920.8
31,0,X,1222,395.0,925.0
32,0,R,-118,912.3,280.6
32,0,R,238,228.7,145.9
32,0,R,390,223.8,103.2
32,0,R,698,207.9,79.4
32,0,R,850,234.9,71.1
